0022301163,1610612759,San Antonio Spurs,78.1,111.4,-33.3,0.75,1.6,16.7,114.0,0.38,0.425
0022301159,1610612737,Atlanta Hawks,116.3,117.3,-1.0,0.814,1.94,24.6,98.0,0.634,0.64
0022301159,1610612766,Charlotte Hornets,117.3,116.3,1.0,0.625,1.79,19.6,98.0,0.595,0.648
0022301158,1610612739,Cleveland Cavaliers,113.4,101.0,12.4,0.73,1.69,19.6,97.0,0.543,0.58
0022301158,1610612763,Memphis Grizzlies,101.0,113.4,-12.4,0.636,1.31,16.2,97.0,0.476,0.531
0022301164,1610612743,Denver Nuggets,127.5,116.3,11.2,0.674,2.21,22.4,91.0,0.62,0.623
0022301164,1610612750,Minnesota Timberwolves,116.3,127.5,-11.2,0.561,2.3,18.5,92.0,0.579,0.586
0022301160,1610612751,Brooklyn Nets,111.6,107.4,4.2,0.658,1.67,18.3,95.0,0.506,0.549
0022301160,1610612761,Toronto Raptors,107.4,111.6,-4.2,0.543,1.9,14.5,95.0,0.457,0.5
0022301165,1610612746,LA Clippers,104.9,120.4,-15.5,0.523,1.77,17.0,103.0,0.526,0.543
0022301165,1610612756,Phoenix Suns,120.4,104.9,15.5,0.63,2.23,20.2,103.0,0.579,0.61
0022301162,1610612749,Milwaukee Bucks,121.9,104.2,17.7,0.628,1.8,20.0,96.0,0.601,0.63
0022301162,1610612753,Orlando Magic,104.2,121.9,-17.7,0.528,1.19,15.4,95.0,0.532,0.562
0022301161,1610612748,Miami Heat,101.1,122.0,-20.9,0.667,1.22,17.4,91.0,0.488,0.53
0022301161,1610612742,Dallas Mavericks,122.0,101.1,20.9,0.628,3.86,21.3,91.0,0.58,0.599
0022301153,1610612760,Oklahoma City Thunder,109.8,102.9,6.9,0.538,1.5,16.3,102.0,0.556,0.598
0022301153,1610612758,Sacramento Kings,102.9,109.8,-6.9,0.697,1.35,15.6,102.0,0.448,0.489
0022301144,1610612766,Charlotte Hornets,103.0,130.0,-27.0,0.615,2.0,17.9,101.0,0.494,0.529
0022301144,1610612742,Dallas Mavericks,130.0,103.0,27.0,0.7,2.33,23.1,100.0,0.629,0.639
0022301154,1610612762,Utah Jazz,100.0,116.8,-16.8,0.528,1.27,14.5,95.0,0.451,0.491
0022301154,1610612743,Denver Nuggets,116.8,100.0,16.8,0.652,3.0,21.6,95.0,0.564,0.562
0022301148,1610612749,Milwaukee Bucks,115.6,101.1,14.4,0.674,1.61,22.5,90.0,0.636,0.635
0022301148,1610612738,Boston Celtics,101.1,115.6,-14.4,0.73,2.25,20.5,90.0,0.489,0.489
0022301156,1610612756,Phoenix Suns,89.3,102.9,-13.6,0.567,2.13,13.5,103.0,0.382,0.454
0022301156,1610612746,LA Clippers,102.9,89.3,13.6,0.683,1.33,19.9,102.0,0.54,0.572
0022301155,1610612747,Los Angeles Lakers,118.8,132.7,-13.9,0.705,3.88,21.3,101.0,0.521,0.563
0022301155,1610612744,Golden State Warriors,132.7,118.8,13.9,0.787,2.47,26.2,101.0,0.75,0.751
0022301151,1610612763,Memphis Grizzlies,88.8,105.2,-16.4,0.583,2.63,15.2,98.0,0.375,0.4
0022301151,1610612759,San Antonio Spurs,105.2,88.8,16.4,0.714,1.76,21.8,97.0,0.54,0.563
0022301146,1610612761,Toronto Raptors,119.4,135.9,-16.5,0.447,1.4,14.5,103.0,0.527,0.567
0022301146,1610612754,Indiana Pacers,135.9,119.4,16.5,0.611,2.36,21.1,103.0,0.626,0.641
0022301149,1610612741,Chicago Bulls,121.9,134.7,-12.9,0.426,2.22,16.0,96.0,0.591,0.607
0022301149,1610612752,New York Knicks,134.7,121.9,12.9,0.674,2.82,23.2,95.0,0.657,0.697
0022301150,1610612745,Houston Rockets,118.0,107.1,10.9,0.644,2.42,21.5,100.0,0.61,0.628
0022301150,1610612753,Orlando Magic,107.1,118.0,-10.9,0.59,1.53,17.1,99.0,0.494,0.551
0022301152,1610612750,Minnesota Timberwolves,130.0,121.0,9.0,0.698,3.75,21.1,100.0,0.578,0.625
0022301152,1610612764,Washington Wizards,121.0,130.0,-9.0,0.591,2.0,19.2,100.0,0.607,0.627
0022301145,1610612755,Philadelphia 76ers,120.0,101.0,19.0,0.659,3.22,19.8,100.0,0.515,0.555
0022301145,1610612765,Detroit Pistons,101.0,120.0,-19.0,0.588,1.25,15.3,101.0,0.488,0.539
0022301147,1610612737,Atlanta Hawks,100.9,104.5,-3.6,0.622,1.75,17.2,110.0,0.442,0.466
0022301147,1610612748,Miami Heat,104.5,100.9,3.6,0.69,1.61,20.1,112.0,0.58,0.602
0022301157,1610612757,Portland Trail Blazers,104.2,112.2,-8.1,0.7,1.27,20.2,96.0,0.547,0.565
0022301157,1610612740,New Orleans Pelicans,112.2,104.2,8.1,0.694,2.78,18.7,98.0,0.477,0.551
0022301140,1610612759,San Antonio Spurs,103.3,109.0,-5.7,0.705,1.24,18.7,122.0,0.531,0.576
0022301140,1610612755,Philadelphia 76ers,109.0,103.3,5.7,0.596,2.58,18.7,122.0,0.509,0.543
0022301135,1610612766,Charlotte Hornets,121.6,126.0,-4.4,0.644,1.61,21.3,97.0,0.645,0.662
0022301135,1610612760,Oklahoma City Thunder,126.0,121.6,4.4,0.733,1.94,22.8,96.0,0.621,0.64
0022301136,1610612753,Orlando Magic,118.9,104.3,14.7,0.571,2.4,18.1,95.0,0.528,0.574
0022301136,1610612741,Chicago Bulls,104.3,118.9,-14.7,0.526,0.95,15.9,94.0,0.547,0.579
